dt vl vr
1512745843.324    0.000    0.000    0.000 -0.914  0.0027  0.0176  0.9414 -0.0417 -0.0276 -0.0228
1512745843.331    0.000    0.000    0.000 -0.914  0.0186 -0.0017  0.9517 -0.0430 -0.0249 -0.0232
1512745843.347    0.000    0.000    0.000 -0.914 -0.0076  0.0156  0.9368 -0.0390 -0.0265 -0.0256
1512745843.355    0.000    0.000    0.000 -0.914  0.0117  0.0051  0.9470 -0.0485 -0.0218 -0.0213
1512745843.370    0.000    0.000    0.000 -0.914  0.0056  0.0027  0.9497 -0.0425 -0.0297 -0.0281
1512745843.377    0.000    0.000    0.000 -0.914  0.0120  0.0217  0.9324 -0.0426 -0.0192 -0.0228
1512745843.386    0.000    0.000    0.000 -0.914  0.0232  0.0193  0.9429 -0.0451 -0.0269 -0.0236
1512745843.394    0.000    0.000    0.000 -0.914 -0.0076  0.0117  0.9341 -0.0433 -0.0252 -0.0214
1512745843.424   11.591    3.818    0.150 -0.914  0.0120  0.0229  0.9629 -0.0471 -0.0312 -0.0260
1512745843.447   11.594    3.814    0.150 -0.914  0.0181  0.0149  0.9548 -0.0471 -0.0242 -0.0253
1512745843.455   11.594    3.814    0.150 -0.914  0.0122  0.0210  0.9355 -0.0403 -0.0262 -0.0204
1512745843.473   11.591    3.805    0.150 -0.914  0.0125  0.0071  0.9399 -0.0418 -0.0170 -0.0224
1512745843.481   11.591    3.805    0.150 -0.914  0.0259  0.0232  0.9504 -0.0475 -0.0278 -0.0190
1512745843.500   11.577    3.808    0.150 -0.914  0.0051  0.0310  0.9377 -0.0407 -0.0274 -0.0198
1512745843.507   11.577    3.808    0.150 -0.914  0.0164  0.0063  0.9448 -0.0423 -0.0173 -0.0221
1512745843.529   11.295    3.663    0.150 -0.914  0.0286  0.0178  0.9487 -0.0441 -0.0252 -0.0212
1512745843.547   11.293    3.662    0.150 -0.914  0.0159  0.0159  0.9563 -0.0391 -0.0246 -0.0232
1512745843.553   11.293    3.662    0.150 -0.914  0.0022  0.0042  0.9497 -0.0457 -0.0262 -0.0240
1512745843.573   11.306    3.639    0.150 -0.914  0.0110  0.0090  0.9380 -0.0399 -0.0278 -0.0201
1512745843.592   11.309    3.661    0.150 -0.914  0.0076  0.0029  0.9238 -0.0399 -0.0204 -0.0210
1512745843.599   11.309    3.661    0.150 -0.914 -0.0042  0.0010  0.9551 -0.0437 -0.0296 -0.0252
1512745843.614   11.309    3.661    0.150 -0.914 -0.0061  0.0198  0.9377 -0.0398 -0.0256 -0.0206
1512745843.622   11.309    3.661    0.150 -0.914  0.0095  0.0071  0.9575 -0.0390 -0.0262 -0.0222
1512745843.644   11.318    3.664    0.150 -0.914  0.0278  0.0193  0.9614 -0.0442 -0.0272 -0.0221
1512745843.650   11.318    3.664    0.150 -0.914  0.0051  0.0005  0.9377 -0.0479 -0.0256 -0.0218
1512745843.672   11.324    3.668    0.150 -0.914  0.0090  0.0142  0.9399 -0.0449 -0.0252 -0.0228
